Method,Metric,Average,All 50 values
SR,,,
,SSIM,0.9720489874157608,"[0.9788181572827831, 0.9683971071051612, 0.9526992618181941, 0.9888435423321283, 0.9396168656941594, 0.9781390272950867, 0.9657512658021924, 0.9722683477810247, 0.9842590321193981, 0.9469170563247803, 0.9790241347638414, 0.9841369326964292, 0.9798984600154662, 0.9602987315668857, 0.9350855390496374, 0.9657870905391954, 0.9817380037804817, 0.9790776367716751, 0.9733202698646882, 0.971443694620363, 0.968918679423195, 0.9759629865234843, 0.972841310834175, 0.9877046302120741, 0.9916958707233844, 0.962986054382822, 0.9801036130962394, 0.9730262845182381, 0.9750763728481727, 0.9945840028310133, 0.9686077647139011, 0.9782193756087397, 0.9781876369801141, 0.9757805471864943, 0.9601431615851631, 0.9851017797108851, 0.971406638996334, 0.9732114471292355, 0.9902797527586382, 0.9473778581578826, 0.977528262986724, 0.9642473181200232, 0.9762864491898392, 0.9642474680576728, 0.9515311020336944, 0.9798086701542141, 0.9707731375470224, 0.9584271529489056, 0.9835678054025139, 0.9792960789036727]"
,PSNR,47.00626445414787,"[47.12582175931089, 44.85698364069977, 45.94894789007641, 49.51817759492804, 42.467438207528204, 50.956619810662446, 44.48744377301346, 46.080553635654226, 49.04171239500748, 44.971831737535275, 47.75933526335929, 49.99568097173181, 48.783503698435624, 45.26065390352352, 39.20417018215855, 44.6850332661798, 49.260163666188205, 47.98259620736569, 50.93563016042158, 47.851034767253886, 45.404062732952355, 42.74608304558497, 44.27002457358313, 50.838736070825526, 52.403646905490255, 45.386776028850235, 47.61843512159803, 45.14803889778101, 49.86670895973474, 54.600246588230206, 47.145628179457255, 47.962651757381494, 44.37139316707909, 50.03613199285432, 46.494067071148386, 49.6840260065455, 48.555072967509034, 46.307843705314376, 51.27404698008867, 43.682632833386926, 47.69655539701645, 47.90415524274073, 46.01617663241956, 44.17535564735418, 43.86673125911165, 47.02091437176442, 45.47487391956568, 41.43215291336264, 45.173971566085164, 50.58274964154387]"
,mSSIM,0.28939706023387135,"[0.3288850913695332, 0.3643482611959757, 0.13812908833326612, 0.49038847185973106, 0.4469226508713005, 0.03318942351631549, 0.38567446563748503, 0.35274990393465805, 0.24868611250840023, 0.22563459633840358, 0.267594954056255, 0.16956602075288793, 0.2609403073802164, 0.37828748227366216, 0.5583310424280269, 0.43342891634463865, 0.1982869856179378, 0.2213774003878529, 0.03228033157458876, 0.1950371884302132, 0.29821585948451934, 0.6122220293926337, 0.660428256139277, 0.2276052131718766, 0.14491988682600193, 0.26579060842633745, 0.4270713499589751, 0.3690842048925141, 0.11188272724563655, 0.12520684559696507, 0.19891680900822795, 0.1823697663398763, 0.4749627878356489, 0.14342995673978431, 0.18963668023878552, 0.20364060509878276, 0.1422987040088449, 0.2927187076485286, 0.1326814979650314, 0.23244680609928203, 0.11245050323406261, 0.07820485671595329, 0.21448242549030683, 0.35294999885040457, 0.29355732188853567, 0.3903202507620938, 0.41495070606827245, 0.5532311475048557, 0.7266085594618471, 0.16782924478835765]"
,mPSNR,9.061939406402958,"[9.73628058131905, 8.58061474012482, 9.71970998713383, 8.987660029975467, 8.75196460705707, 9.81511567473268, 8.665862238261534, 8.7758334585032, 10.257477013240129, 10.528319530683376, 9.609512262315839, 10.049764997997311, 9.348626206153414, 8.495772161720442, 9.277746658026203, 9.88841531683194, 9.085101385765991, 9.091330292036588, 9.931536295387723, 10.435402017031517, 9.440466922343013, 10.864273723613632, 9.408323846870843, 7.966049633597576, 9.372649776485272, 8.957885705029984, 9.038066604556175, 9.079080702822877, 9.983567473275176, 10.347310101092077, 10.379491141345163, 8.335009232950183, 8.876322311594528, 9.482695958947644, 8.115519282720244, 8.62178273727192, 8.82219252514022, 7.5735576563836755, 6.702918854074919, 7.978279567506453, 7.533658580134493, 8.210177071361144, 7.111520203446359, 8.53137832699359, 7.044755648382965, 10.219232957463253, 8.065617209935915, 8.66604841392477, 11.277795432845597, 8.059297263739902]"
FGT,,,
,SSIM,0.9986956342115643,"[0.9993849564202254, 0.9992143662046993, 0.9986963587393068, 0.999585792937471, 0.9982222758486419, 0.9994157121167749, 0.9983188199337935, 0.9987265847250945, 0.999533954606331, 0.9987327451354052, 0.999152756692907, 0.999184471970374, 0.9993892631066387, 0.9988953309614227, 0.9952865825330536, 0.9985090605706168, 0.9996150014608235, 0.9994245830129201, 0.9988644352373011, 0.998071219537485, 0.9992033917295666, 0.9985351809253068, 0.9978861097878221, 0.9996305065861241, 0.9993463823759129, 0.9982740934447693, 0.9984565927284569, 0.9985032211927094, 0.9984728780799937, 0.9995185022803764, 0.9984647894638387, 0.997889662684805, 0.9988736045497298, 0.9984863746851688, 0.9981706976913269, 0.9994338791870908, 0.999160566864798, 0.9986875541218886, 0.9997686804908396, 0.9976313825365674, 0.9991883006213057, 0.9977609151509448, 0.9993361636384757, 0.9985481665698046, 0.9972866636151986, 0.9989047063702988, 0.9985631594525435, 0.996996366868812, 0.9987971397218173, 0.9987818054106338]"
,PSNR,55.19925805845241,"[57.65674777607111, 57.56703839660461, 54.864494085714554, 59.91297392556977, 53.42607085014486, 59.68943815738754, 52.33119878717056, 55.412972222262546, 59.28096951362474, 54.71950513531284, 55.13274169422478, 56.268909415324906, 55.709084611215836, 55.17017251340007, 47.411312669936265, 54.23711722744055, 60.10625364945098, 58.031111342097184, 55.339003733811026, 52.884296045098665, 57.31971317170138, 49.09124941139598, 49.728647782782154, 60.76319701248999, 58.05382950106325, 53.29229847862918, 53.79060196978599, 54.048899767266796, 55.24650118634555, 57.84121934741545, 53.8317815092703, 53.31442022783698, 56.30717892641191, 55.261403478482066, 53.42456115183936, 57.835051934191846, 57.91340882820822, 54.71229255609116, 64.03534670294229, 51.81203150280547, 54.95947209309081, 51.79388397943881, 58.55513531990476, 55.39991970563199, 51.67896122110416, 54.79491992509463, 54.287626299015585, 49.277359945266916, 50.66175550875798, 55.778822726495804]"
,mSSIM,0.9623775847313035,"[0.9748859650330344, 0.9796597229958857, 0.9739110293283005, 0.9796211109332084, 0.9807942530358491, 0.9704476771199808, 0.9648612383743163, 0.9638683893270866, 0.9753857751250123, 0.9795581227840771, 0.9627342918019832, 0.9541142462137341, 0.9754890787619548, 0.9842196076022254, 0.9656752920765278, 0.973192501999619, 0.9798214112206709, 0.9729414325873966, 0.9581476057094902, 0.9346315692817373, 0.9806044401155001, 0.9777891282484555, 0.9745257766344801, 0.982709168175688, 0.9176039363149336, 0.9640250228358833, 0.9512862648901722, 0.959145803506543, 0.93260858926611, 0.9084577855619962, 0.9499222699204813, 0.9028733059753443, 0.9657918288333962, 0.9478015061924351, 0.957623705339081, 0.9676012280518806, 0.9739910150667961, 0.9611147616251315, 0.9747462202186691, 0.9552684185010751, 0.9610069920151929, 0.946504795282774, 0.9742942953255156, 0.9691021588450242, 0.9510215489200377, 0.9611227924369321, 0.9657444042965493, 0.9612718110388024, 0.9746035181681432, 0.9447564236500422]"
,mPSNR,43.53780695599628,"[46.72226551934597, 47.54561909246366, 46.464438149909995, 45.600802334821005, 46.448709195633874, 46.840894509585134, 42.966342803318, 44.92989038945421, 46.981502145083624, 47.93445698616499, 43.42214615953148, 42.980788565231556, 43.17488589251906, 47.66226929943614, 41.911710353052776, 42.76681449232819, 47.78345819235784, 45.70669452336665, 44.648290767531904, 42.35003962776335, 47.23726048064371, 38.930164699234965, 36.64478579234062, 46.32266237569182, 38.821926075938876, 43.397249254395874, 39.842604582196095, 42.28536213732816, 43.20573485530076, 40.035415175546476, 42.251866811180605, 39.582570893555925, 45.75869384100899, 43.55620239449195, 43.57054161216502, 45.21478553388077, 46.41828797149088, 43.01052273024978, 47.4374470667783, 40.365387085729466, 41.48628598786879, 39.14402650685386, 47.28809126531174, 45.852518754600176, 40.9519680937084, 41.27086679525157, 43.88091107020429, 39.78319334453494, 39.02224241636019, 39.478753197071875]"
